,Unnamed: 0,hotel_id,name,average_rating,no_of_reviews,address,latitude,longitude,no_of_terrible,no_of_poor,no_of_average,no_of_very_good,no_of_excellent,no_of_terrible_sentiment,no_of_poor_sentiment,no_of_average_sentiment,no_of_very_good_sentiment,no_of_excellent_sentiment,sentiment_rating,word,positiveWord,negativeWord,dataset
561,0,0,"The Alexandrian, Autograph Collection",4.48,1183,480 King St,38.80474,-77.04455,0,10,31,90,1052,0,36,115,244,788,4.05,"{'room': {220: 3.727272727272727}, 'cleanliness': {117: 3.9401709401709404}, 'value': {4: 3.75}, 'pet-friendly': {3: 3.6666666666666665}, 'food': {25: 3.6}, 'parking': {30: 4.033333333333333}, 'service': {26: 4.115384615384615}, 'comfort': {40: 3.65}, 'location': {42: 3.880952380952381}, 'sleep': {7: 3.5714285714285716}, 'air-conditioner': {2: 4.0}, 'quiet': {11: 3.5454545454545454}, 'spa': {18: 3.888888888888889}, 'internet': {3: 3.6666666666666665}, 'business': {8: 3.75}, 'lounge': {24: 3.6666666666666665}, 'bathroom': {13: 3.3076923076923075}, 'gym': {4: 3.75}, 'cafe': {3: 4.333333333333333}}","{'area': 95, 'time': 94, 'desk': 54, 'helpful': 49, 'morning': 49, 'walk': 72, 'night': 69, 'service': 44, 'stay': 61, 'food': 48}","{'location': 46, 'area': 44, 'comfortable': 36, 'lobby': 33, 'distance': 29, 'bit': 36, 'stay': 59, 'friendly': 25, 'looked': 23, 'hot': 129}",static
333,1,1,Howard Johnson Inn - Newburgh,2.77,699,95 Route 17k,41.505388,-74.073291,0,130,155,218,196,0,112,185,229,173,2.99,"{'room': {145: 2.6620689655172414}, 'comfort': {38: 2.6315789473684212}, 'cleanliness': {62: 2.7419354838709675}, 'location': {18: 3.0555555555555554}, 'pet-friendly': {4: 2.5}, 'bathroom': {14: 2.5}, 'spa': {18: 2.2222222222222223}, 'parking': {4: 1.5}, 'value': {6: 3.1666666666666665}, 'service': {15: 2.6666666666666665}, 'business': {9: 2.0}, 'quiet': {13: 2.769230769230769}, 'internet': {7: 2.4285714285714284}, 'food': {6: 2.6666666666666665}, 'sleep': {4: 3.0}, 'lounge': {1: 3.0}, 'gym': {2: 3.5}, 'air-conditioner': {1: 2.0}}","{'hotel': 41, 'friendly': 31, 'kitchen': 23, 'eat': 33, 'clean': 19, 'free': 17, 'stay': 31, 'decided': 15, 'bed': 16, 'breakfast': 14}","{'stay': 159, 'told': 40, 'helpful': 38, 'location': 35, 'night': 47, 'clean': 45, 'extended': 30, 'hotel': 52, 'kitchen': 36, 'area': 25}",static
11,2,2,Americas Best Value Inn,2.74,556,2512 W Lincolnway,41.11915,-104.84949,1,142,100,133,180,0,100,143,185,128,2.97,"{'comfort': {27: 2.5925925925925926}, 'room': {106: 2.5660377358490565}, 'location': {35: 3.085714285714286}, 'bathroom': {42: 2.1904761904761907}, 'cleanliness': {40: 2.675}, 'quiet': {9: 3.0}, 'spa': {8: 2.375}, 'food': {7: 2.857142857142857}, 'internet': {8: 3.375}, 'service': {6: 2.8333333333333335}, 'lounge': {5: 3.6}, 'parking': {4: 2.75}, 'sleep': {5: 1.8}, 'air-conditioner': {1: 1.0}, 'business': {3: 2.0}, 'value': {3: 2.6666666666666665}, 'pet-friendly': {3: 3.3333333333333335}}","{'staff': 32, 'location': 27, 'nice': 25, 'good': 23, 'friendly': 19, 'breakfast': 20, 'time': 16, 'floor': 15, 'place': 17, 'night': 16}","{'stay': 115, 'place': 89, 'good': 58, 'staff': 51, 'helpful': 41, 'shower': 63, 'night': 59, 'ja': 44, 'walk': 67, 'morning': 37}",static
216,3,3,Fiesta Inn and Suites,1.46,530,4934 N W Loop 410,29.487838,-98.583884,0,407,53,32,38,0,312,141,46,31,1.88,"{'comfort': {31: 1.903225806451613}, 'room': {91: 1.5934065934065933}, 'cleanliness': {46: 1.7391304347826086}, 'sleep': {8: 1.875}, 'spa': {10: 1.2}, 'food': {2: 1.0}, 'service': {13: 1.4615384615384615}, 'quiet': {12: 1.5}, 'pet-friendly': {3: 1.6666666666666667}, 'business': {7: 2.2857142857142856}, 'value': {5: 1.8}, 'internet': {2: 1.5}, 'lounge': {9: 1.7777777777777777}, 'location': {14: 1.4285714285714286}, 'parking': {3: 1.3333333333333333}, 'bathroom': {5: 1.2}, 'air-conditioner': {2: 1.5}, 'gym': {1: 2.0}}","{'mattress': 10, 'local': 6, 'channels': 6, 'stay': 7, 'bit': 3, 'nervous': 3, 'exterior': 3, 'gas': 3, 'station': 3, 'pool': 3}","{'clean': 90, 'desk': 61, 'night': 96, 'place': 82, 'pool': 46, 'location': 46, 'dog': 43, 'late': 43, 'friendly': 42, 'quiet': 38}",static
355,4,4,Ip Casino Resort Spa,4.07,392,850 Bayview Ave,30.411692,-88.890249,0,16,24,60,292,0,49,55,64,224,3.67,"{'parking': {34: 3.6176470588235294}, 'food': {2: 4.0}, 'room': {87: 3.4597701149425286}, 'service': {8: 3.5}, 'location': {41: 3.5365853658536586}, 'value': {5: 2.8}, 'cleanliness': {34: 3.5294117647058822}, 'sleep': {10: 3.2}, 'internet': {5: 3.6}, 'spa': {6: 3.0}, 'comfort': {14: 3.5}, 'bathroom': {3: 3.0}, 'pet-friendly': {2: 5.0}, 'lounge': {20: 3.9}, 'quiet': {11: 4.363636363636363}}","{'clean': 35, 'location': 29, 'place': 32, 'great': 23, 'hotel': 23, 'room': 31, 'walk': 21, 'night': 24, 'neighborhood': 17, 'free': 16}","{'stay': 45, 'room': 38, 'windows': 21, 'helpful': 21, 'location': 22, 'large': 19, 'edge': 17, 'opened': 16, 'number': 16, 'min': 29}",static
118,5,5,Comfort Suites,3.95,326,1055 E Mcnee Road Of Main St,29.681085,-95.402996,0,16,23,50,237,0,19,46,98,163,3.69,"{'spa': {10: 4.0}, 'room': {55: 3.690909090909091}, 'cleanliness': {13: 3.769230769230769}, 'location': {9: 2.4444444444444446}, 'business': {2: 4.0}, 'lounge': {4: 2.5}, 'service': {14: 3.0}, 'parking': {2: 3.5}, 'bathroom': {5: 4.2}, 'comfort': {11: 3.5454545454545454}, 'pet-friendly': {3: 4.0}, 'value': {4: 3.5}, 'air-conditioner': {1: 5.0}, 'internet': {2: 3.5}, 'food': {2: 2.5}, 'sleep': {1: 5.0}}","{'stay': 63, 'clean': 29, 'helpful': 21, 'amazing': 20, 'family': 18, 'breakfast': 16, 'great': 15, 'families': 14, 'location': 14, 'polite': 13}","{'hotel': 46, 'shuttle': 33, 'staff': 27, 'nice': 24, 'location': 22, 'incredible': 19, 'proximity': 19, 'shopping': 19, 'happy': 18, 'time': 27}",static
57,6,6,Best Western Plus Waterville Grand Hotel,3.67,325,375 Main St,44.57059,-69.64012,0,23,26,70,206,0,27,51,105,142,3.53,"{'room': {63: 3.1587301587301586}, 'cleanliness': {18: 2.888888888888889}, 'location': {9: 3.111111111111111}, 'comfort': {5: 3.2}, 'pet-friendly': {15: 3.2666666666666666}, 'bathroom': {5: 2.6}, 'quiet': {3: 3.6666666666666665}, 'parking': {7: 3.2857142857142856}, 'lounge': {4: 3.25}, 'air-conditioner': {2: 2.0}, 'sleep': {6: 2.6666666666666665}, 'value': {3: 2.3333333333333335}, 'food': {2: 4.5}, 'internet': {3: 3.3333333333333335}, 'service': {6: 2.8333333333333335}, 'spa': {2: 2.0}, 'business': {2: 3.0}}","{'room': 113, 'place': 28, 'night': 24, 'great': 21, 'toilet': 20, 'rude': 17, 'day': 22, 'worth': 14, 'desk': 14, 'booked': 13}","{'stay': 41, 'dirty': 34, 'shower': 26, 'clean': 32, 'car': 39, 'rude': 20, 'door': 19, 'room': 50, 'smell': 20, 'tub': 26}",static
62,7,7,Best Western of Long Beach,3.66,317,1725 Long Beach Blvd,33.78864,-118.189464,0,18,33,73,193,0,22,53,95,147,3.57,"{'room': {68: 3.426470588235294}, 'cleanliness': {21: 3.142857142857143}, 'location': {9: 2.6666666666666665}, 'value': {5: 4.2}, 'comfort': {5: 3.6}, 'sleep': {7: 2.7142857142857144}, 'quiet': {1: 4.0}, 'service': {3: 4.0}, 'parking': {3: 2.0}, 'food': {4: 2.5}, 'lounge': {8: 2.75}, 'internet': {3: 3.0}, 'pet-friendly': {4: 3.75}, 'bathroom': {3: 4.0}, 'spa': {1: 2.0}}","{'night': 38, 'people': 36, 'room': 44, 'clean': 37, 'door': 25, 'stay': 38, 'smell': 47, 'desk': 18, 'expect': 18, 'work': 15}","{'room': 65, 'location': 31, 'motel': 24, 'smell': 38, 'clean': 21, 'worst': 19, 'experience': 19, 'life': 19, 'parking': 18, 'pool': 18}",static
254,8,8,Hampton Inn Virginia Beach Oceanfront North,4.35,301,3107 Atlantic Ave,36.859787,-75.978035,0,2,15,41,243,0,10,29,89,173,3.86,"{'room': {52: 3.6153846153846154}, 'cleanliness': {28: 3.3214285714285716}, 'business': {4: 2.25}, 'value': {3: 4.0}, 'comfort': {21: 3.5238095238095237}, 'food': {8: 2.75}, 'service': {12: 3.25}, 'location': {5: 4.0}, 'internet': {3: 3.3333333333333335}, 'spa': {1: 4.0}, 'bathroom': {6: 3.3333333333333335}, 'quiet': {2: 4.0}, 'gym': {2: 3.5}, 'lounge': {5: 3.2}, 'parking': {2: 4.5}, 'pet-friendly': {2: 3.0}, 'sleep': {1: 3.0}}","{'clean': 28, 'location': 23, 'friendly': 34, 'staff': 21, 'restaurant': 21, 'desk': 20, 'voucher': 17, 'night': 18, 'toast': 17, 'pool': 16}","{'hotel': 32, 'breakfast': 28, 'desk': 25, 'staff': 19, 'friendly': 18, 'price': 14, 'dog': 16, 'check': 13, 'place': 10, 'helpful': 11}",static
446,9,9,Plaza Hotel and Casino - Las Vegas,3.22,289,1 Main St,36.171617,-115.146375,0,39,41,84,125,0,56,75,63,95,3.08,"{'cleanliness': {32: 3.375}, 'quiet': {4: 2.25}, 'room': {45: 2.8222222222222224}, 'value': {9: 3.2222222222222223}, 'comfort': {33: 2.9696969696969697}, 'pet-friendly': {1: 2.0}, 'sleep': {6: 2.5}, 'location': {7: 1.7142857142857142}, 'parking': {1: 4.0}, 'spa': {6: 2.8333333333333335}, 'lounge': {2: 4.0}, 'service': {3: 3.3333333333333335}, 'bathroom': {3: 3.3333333333333335}, 'food': {2: 2.5}}","{'train': 23, 'clean': 20, 'open': 16, 'time': 17, 'hotel': 14, 'stay': 17, 'feedback': 10, 'coffee': 10, 'complete': 9, 'online': 8}","{'staff': 51, 'train': 56, 'stay': 47, 'night': 38, 'bed': 29, 'helpful': 28, 'nice': 28, 'place': 31, 'friendly': 23, 'location': 22}",static
