,review,city,country,hotel,originalRating,address,latitude,longitude,created_at,Word,sentimentRating
0,"Hotel room was excellent, with stunning views of
Marina BayHotel room was excellent, with stunning views of
Marina BayHotel room was excellent, with stunning views of
Marina BayHotel room was excellent, with stunning views of
Marina Bay",Singapore,Singapore,The Fullerton Hotel Singapore (Staycation Approved),5.0,"1 Fullerton Square, Singapore, 049178, Singapore",0,0,2022-08-30 11:10:23,room ,4.75
1," We also had the Joyous menu at
Jade Restaurant and the high tea at Courtyard
Cafe, both of which were sumptuous We also had the Joyous menu at
Jade Restaurant and the high tea at Courtyard
Cafe, both of which were sumptuous We also had the Joyous menu at
Jade Restaurant and the high tea at Courtyard
Cafe, both of which were sumptuous",Singapore,Singapore,The Fullerton Hotel Singapore (Staycation Approved),5.0,"1 Fullerton Square, Singapore, 049178, Singapore",0,0,2022-08-17 17:27:59,cafe ,4.333333333333333
2," The service
was great too The service
was great too The service
was great too",Singapore,Singapore,The Fullerton Hotel Singapore (Staycation Approved),5.0,"1 Fullerton Square, Singapore, 049178, Singapore",0,0,2022-07-26 22:18:30,service ,4.666666666666667
3," When we were having high tea,
there was also a harpist playing, which added to
the nice ambience When we were having high tea,
there was also a harpist playing, which added to
the nice ambience When we were having high tea,
there was also a harpist playing, which added to
the nice ambience When we were having high tea,
there was also a harpist playing, which added to
the nice ambience When we were having high tea,
there was also a harpist playing, which added to
the nice ambience",Singapore,Singapore,The Fullerton Hotel Singapore (Staycation Approved),4.7,"1 Fullerton Square, Singapore, 049178, Singapore",0,0,2022-07-10 13:48:19,,4.4
4,It was a fantastic staycation during national dayIt was a fantastic staycation during national dayIt was a fantastic staycation during national day,Singapore,Singapore,The Fullerton Hotel Singapore (Staycation Approved),5.0,"1 Fullerton Square, Singapore, 049178, Singapore",0,0,2022-09-22 14:05:09,,4.666666666666667
5, Special mention to Chandra at the entrance and room service (Faizal) who helped to heat up the food for our little one Special mention to Chandra at the entrance and room service (Faizal) who helped to heat up the food for our little one Special mention to Chandra at the entrance and room service (Faizal) who helped to heat up the food for our little one Special mention to Chandra at the entrance and room service (Faizal) who helped to heat up the food for our little one Special mention to Chandra at the entrance and room service (Faizal) who helped to heat up the food for our little one,Singapore,Singapore,The Fullerton Hotel Singapore (Staycation Approved),5.0,"1 Fullerton Square, Singapore, 049178, Singapore",0,0,2022-06-20 08:53:06,food service room ,4.0
6,    ,Singapore,Singapore,The Fullerton Hotel Singapore (Staycation Approved),5.0,"1 Fullerton Square, Singapore, 049178, Singapore",0,0,2022-06-08 20:37:30,,4.5
7,Our overall stay at Fullerton’s was greatOur overall stay at Fullerton’s was greatOur overall stay at Fullerton’s was greatOur overall stay at Fullerton’s was great,Singapore,Singapore,The Fullerton Hotel Singapore (Staycation Approved),4.5,"1 Fullerton Square, Singapore, 049178, Singapore",0,0,2022-06-01 18:26:45,,4.5
8, Well received by Sungeetha from the concierge team Well received by Sungeetha from the concierge team Well received by Sungeetha from the concierge team Well received by Sungeetha from the concierge team Well received by Sungeetha from the concierge team Well received by Sungeetha from the concierge team Well received by Sungeetha from the concierge team Well received by Sungeetha from the concierge team,Singapore,Singapore,The Fullerton Hotel Singapore (Staycation Approved),5.0,"1 Fullerton Square, Singapore, 049178, Singapore",0,0,2022-06-13 07:47:03,,4.5
9," She ensured that we are well taken care of while we celebrated our little girl’s birthday party! Kudos! 

Our little one definitely enjoyed herself!  She ensured that we are well taken care of while we celebrated our little girl’s birthday party! Kudos! 

Our little one definitely enjoyed herself!  She ensured that we are well taken care of while we celebrated our little girl’s birthday party! Kudos! 

Our little one definitely enjoyed herself!  She ensured that we are well taken care of while we celebrated our little girl’s birthday party! Kudos! 

Our little one definitely enjoyed herself!  She ensured that we are well taken care of while we celebrated our little girl’s birthday party! Kudos! 

Our little one definitely enjoyed herself!  She ensured that we are well taken care of while we celebrated our little girl’s birthday party! Kudos! 

Our little one definitely enjoyed herself!  She ensured that we are well taken care of while we celebrated our little girl’s birthday party! Kudos! 

Our little one definitely enjoyed herself!  She ensured that we are well taken care of while we celebrated our little girl’s birthday party! Kudos! 

Our little one definitely enjoyed herself!  She ensured that we are well taken care of while we celebrated our little girl’s birthday party! Kudos! 

Our little one definitely enjoyed herself! ",Singapore,Singapore,The Fullerton Hotel Singapore (Staycation Approved),5.0,"1 Fullerton Square, Singapore, 049178, Singapore",0,0,2022-05-22 16:53:29,,3.2222222222222223
